,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_5.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_6.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\6_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\6_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n10.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n11.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n12.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n13.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n14.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n5.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n6.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n7.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n8.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n9.jpg
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_4.jpg,106.66406631469727,106.7765261332194,108.63288497924805,106.59599939982097,104.56981404622395,104.52959823608398,105.24064127604167,104.67377217610677,101.20806248982747,104.901429494222,0.0,103.5265286763509,104.90329488118489,106.69608306884766,105.75522104899089,106.29862976074219,106.43885676066081,105.87061945597331,105.16061147054036,105.26557540893555,104.93355560302734,105.47562026977539,106.21767679850261,107.67305755615234,104.7913195292155,105.40267817179362,104.73463948567708,102.74766031901042,103.55447260538737,106.42212549845378,104.91946792602539,106.79035059611003,107.37682088216145,106.8109130859375,105.50130716959636,105.97241465250652,105.5009651184082,109.02312978108723,105.91287612915039
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_1.jpg,106.7926762898763,106.01049296061198,105.30919901529948,105.32570139567058,107.01197687784831,107.378173828125,106.40630467732747,107.38708877563477,104.51138051350911,103.8918685913086,103.5265286763509,0.0,104.25724411010742,103.68685785929362,104.8371187845866,104.43759028116862,103.25323232014973,103.35308583577473,104.98096084594727,106.16064198811848,105.76225153605144,103.51108805338542,106.66957473754883,105.96019109090169,106.94223531087239,104.5594711303711,104.55116653442383,107.58311335245769,106.67067464192708,107.95603688557942,105.64543151855469,104.0905532836914,106.76436233520508,105.6232541402181,102.182799021403,109.78090794881184,104.74337259928386,105.53981399536133,106.01035817464192
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_2.jpg,109.16758600870769,106.95157241821289,102.78876622517903,107.54819361368816,102.87054443359375,105.51989364624023,102.84576416015625,103.16826629638672,107.71551132202148,105.63770167032878,104.90329488118489,104.25724411010742,0.0,104.74392191569011,97.83643849690755,107.51881917317708,102.88778305053711,104.42336654663086,104.32679748535156,108.31172053019206,107.99935150146484,102.92334874471028,107.59843190511067,109.97958882649739,109.07101058959961,104.93370946248372,104.90816752115886,103.85652414957683,103.97701899210612,107.34760920206706,104.62502161661784,107.7626355489095,107.79330698649089,105.19515482584636,107.73832194010417,107.35330708821614,105.84789403279622,105.10133870442708,104.22717412312825
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_3.jpg,106.24118169148763,107.28011703491211,105.59992853800456,106.59682591756184,104.10669199625652,105.45863469441731,103.6428705851237,104.15290069580078,105.61356989542644,104.92419306437175,106.69608306884766,103.68685785929362,104.74392191569011,0.0,103.87883758544922,107.7202657063802,107.27968724568684,103.99757512410481,105.86388905843098,105.05426915486653,107.69469960530598,103.86025110880534,107.01600392659505,107.74731953938802,109.37184778849284,105.24550755818684,105.91757710774739,105.56129964192708,103.83928807576497,106.07581202189128,105.66116460164388,105.11562474568684,105.08948262532552,106.07185363769531,105.87416076660156,108.43324788411458,105.84423192342122,104.71670277913411,103.63484319051106
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_4.jpg,108.2449836730957,106.33948135375977,102.9006233215332,106.79917780558269,102.78179931640625,105.2735226949056,102.81784311930339,103.01119740804036,107.1437161763509,105.09224319458008,105.75522104899089,104.8371187845866,97.83643849690755,103.87883758544922,0.0,107.97851053873698,103.8240598042806,104.53577295939128,103.5784428914388,106.7808469136556,107.3564682006836,102.28582127888997,106.77190907796223,109.6713155110677,108.39710871378581,105.58072026570638,105.817626953125,105.16352081298828,102.48722457885742,108.27133814493816,105.41021092732747,106.28518803914388,107.8707758585612,104.47763315836589,107.60382588704427,107.15498860677083,105.51110967000325,104.73396809895833,105.07148361206055
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_1.jpg,104.75922775268555,100.96845372517903,108.21955998738606,105.90771102905273,105.75998942057292,104.12328211466472,105.2979024251302,110.60573323567708,104.1367785135905,100.95287704467773,106.29862976074219,104.43759028116862,107.51881917317708,107.7202657063802,107.97851053873698,0.0,105.87365849812825,108.43840154012044,108.7388916015625,107.61860783894856,90.98582204182942,107.23048528035481,101.67901865641277,99.00781758626302,89.24452336629231,104.5193723042806,104.68401590983073,108.06688690185547,106.42065302530925,105.14344151814778,107.13294092814128,105.68187586466472,100.28549702962239,104.51868947347005,104.19283548990886,100.28285471598308,104.36882909138997,106.88647206624348,103.3417854309082
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_2.jpg,111.07215627034505,104.22556813557942,87.55381774902344,104.48487345377605,108.43373235066731,107.42308807373047,108.198792775472,108.62339655558269,104.33619435628255,109.61078135172527,106.43885676066081,103.25323232014973,102.88778305053711,107.27968724568684,103.8240598042806,105.87365849812825,0.0,98.37686157226562,104.49007797241211,112.28939565022786,105.84150568644206,95.38045501708984,106.14832433064778,104.12355677286784,109.61086527506511,105.66538492838542,104.10327784220378,109.88699213663737,106.71529388427734,108.15735626220703,104.19389343261719,104.86389923095703,110.59543736775716,108.09032313028972,106.33757909138997,106.87128321329753,107.9184341430664,97.56544621785481,105.6886494954427
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_1.jpg,106.15697987874348,107.9287592569987,104.74554189046223,103.95759836832683,106.51968510945638,105.99854787190755,105.97673161824544,106.70927047729492,106.0806172688802,106.72381337483723,105.87061945597331,103.35308583577473,104.42336654663086,103.99757512410481,104.53577295939128,108.43840154012044,98.37686157226562,0.0,106.49504470825195,105.49297332763672,108.26247278849284,98.23459116617839,109.4669075012207,106.81903457641602,109.47039286295573,106.74000803629558,104.44589614868164,108.15298589070638,108.77398173014323,107.44346364339192,103.4496587117513,104.26431528727214,107.00084813435872,106.53588994344075,105.25444412231445,108.87444432576497,105.07552846272786,106.83947881062825,105.68357340494792
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_2.jpg,108.7350680033366,107.67446517944336,103.7006238301595,104.91948572794597,105.99178314208984,106.4024035135905,105.9174067179362,103.66308085123698,105.12742741902669,106.6491330464681,105.16061147054036,104.98096084594727,104.32679748535156,105.86388905843098,103.5784428914388,108.7388916015625,104.49007797241211,106.49504470825195,0.0,108.6376101175944,108.74614969889323,104.19895807902019,108.10013071695964,107.10640716552734,107.82055536905925,106.7051378885905,105.06598409016927,107.62183634440105,104.08393478393555,104.07736078898112,106.76503880818684,106.62303288777669,107.44929758707683,105.56481679280598,105.9554443359375,107.69745127360027,106.35766220092773,105.32712046305339,105.56487147013347
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_3.jpg,90.07999165852864,99.83323669433594,108.36013539632161,96.44183858235677,107.39333979288737,105.8369140625,107.96874872843425,109.3729616800944,104.62664540608723,106.4470443725586,105.26557540893555,106.16064198811848,108.31172053019206,105.05426915486653,106.7808469136556,107.61860783894856,112.28939565022786,105.49297332763672,108.6376101175944,0.0,103.57730229695638,107.86261494954427,98.60734430948894,99.45766576131184,106.95035807291667,104.49861653645833,105.12357966105144,110.4013303120931,110.20031992594402,109.38082631429036,105.71111806233723,98.3613993326823,104.60144933064778,104.99413935343425,101.2509371439616,105.86392339070638,101.89017995198567,107.504576365153,106.46474965413411
