,V00001.png,V00002.png,V00003.png,V00004.png,V00005.png,V00006.png,V00007.png,V00008.png,V00009.png,V00010.png,V00011.png,V00012.png,V00013.png,V00014.png,V00015.png,V00016.png,V00017.png,V00018.png,V00019.png,V00020.png,V00021.png,V00022.png,V00023.png,V00024.png,V00025.png,V00026.png,V00027.png,V00028.png,V00029.png,V00030.png
V00001.png,inf,15.185098028665005,13.776615767133107,11.765076038222745,11.209424011518758,11.535112259456069,11.191226906821099,10.981969657598212,11.079281307700393,11.962868318908708,11.223959772423111,11.498268690866292,14.812628736019946,14.978083766803625,14.676175416338653,13.866875900590774,12.50372422101889,12.730208850053298,13.087492324391256,13.126137996626476,13.511137286584862,12.746279835763993,12.923782120309518,12.70940114799075,13.502796969155229,13.439222002996758,13.942016981131943,11.284386803846768,13.682918062664093,13.830663366307878
V00002.png,15.185098028665005,inf,13.674765770867792,11.876659108033001,11.0832244731057,11.53290185239695,11.187737860220823,11.299255136629593,11.217924492254465,11.926347059475294,11.14909274673433,11.43466423350162,14.68228306112775,14.097375417615385,14.508108169021778,14.18109681563635,12.436293181009507,12.48042617189683,12.897805874458449,13.078067391319664,13.345707005432565,12.688289780530521,12.766738792709624,12.654167753895308,13.561325130372492,13.666751719562708,13.771655466275043,11.175784657275099,13.62027177289754,13.923928401479067
V00003.png,13.776615767133107,13.674765770867792,inf,11.803547846751048,11.85955740701263,11.67438120983495,11.479528210649255,11.054649155960888,11.064856039097837,12.19412294089045,11.113397852491701,11.217876715238129,13.81880540901405,13.605871856267292,13.160203081531334,12.938424149520598,12.712390608476273,12.67463336644601,12.12449565165403,12.259368499924243,12.227275541113334,12.124319806979909,12.189155256625543,12.256367108335521,12.423289973861841,13.137231626008067,13.171542138933178,11.32980509168991,12.78378245391129,12.47834131381559
V00004.png,11.765076038222745,11.876659108033001,11.803547846751048,inf,15.005743114083321,13.123599597704818,13.139028539836035,13.166356143919057,13.336452911013515,13.32698144391961,14.1354142672662,13.392209735758414,12.26868120201981,12.280281328236406,12.519447370581444,12.499073268786304,13.18750998039355,13.699537614064468,12.814552866382263,12.59832964995081,11.975150445950186,12.734274592217815,12.70917961748002,12.896317693338847,11.583325732359684,11.664315119019735,11.896374473576333,12.326770973573279,11.553958548708605,11.706259062214556
V00005.png,11.209424011518758,11.0832244731057,11.85955740701263,15.005743114083321,inf,13.177796497279859,12.961978686213005,12.754863229662805,12.539869158653364,13.149070223411314,13.22968838346948,13.37080457363471,11.56559949209739,11.713384008533739,11.673482069476435,11.552839908159921,12.520658855752604,12.695558161008435,12.215420724203197,12.170540534940102,11.259614547956968,12.399285122448857,12.313774035529722,12.438190044480354,11.086874340649025,11.198738285931,11.184033420160848,12.323047196984675,10.927805517667188,10.980871822280964
V00006.png,11.535112259456069,11.53290185239695,11.67438120983495,13.123599597704818,13.177796497279859,inf,13.555157440182498,13.479187125398367,11.86828609910728,12.536064645699005,12.422012250086228,12.912027015622042,12.415899122361472,12.054497135112769,12.051357776661288,11.839103060887123,12.66717435343877,12.104803470310639,11.965543052507977,12.259438666724957,11.22787535737464,12.395450353690926,12.347258319510635,12.328229294520552,11.24289430030881,11.483312097657878,11.387582759946637,12.620771479599892,11.270233145085022,11.18733858935781
V00007.png,11.191226906821099,11.187737860220823,11.479528210649255,13.139028539836035,12.961978686213005,13.555157440182498,inf,15.456091370128242,12.87703272786298,12.464510025628089,13.647151610333827,14.483500927646496,11.500873180527758,11.859682185539542,12.039341556840188,11.658303840929731,12.488879875551742,12.711568648863683,11.92295362480179,12.04623394103071,11.181564229820067,12.434981581665118,12.196726318058026,12.278051875380063,10.881938271490467,10.893510850960983,11.09058058421494,12.501718215184,10.78421684740398,10.835866505102095
V00008.png,10.981969657598212,11.299255136629593,11.054649155960888,13.166356143919057,12.754863229662805,13.479187125398367,15.456091370128242,inf,12.459568690685838,12.275478788453448,13.396398288008369,14.474928917129294,11.393892454137768,11.547041443194967,11.779336854732401,11.699177400064524,12.239747126302454,12.30601596466512,11.720153661347748,11.899470513425534,11.038982898000251,12.371294084596862,12.177477875512142,12.275841179571895,10.883132517135666,10.874807913291004,10.972048982393956,12.473270755113637,10.778728407238429,10.971902149569647
V00009.png,11.079281307700393,11.217924492254465,11.064856039097837,13.336452911013515,12.539869158653364,11.86828609910728,12.87703272786298,12.459568690685838,inf,12.968540192346719,14.243804621498802,13.102941730436967,11.81889666023801,11.57262020440741,11.597228222695007,11.376459417262232,12.61096185543799,12.550261692131368,12.22984390985122,11.840264742548845,11.277746762604632,12.214812211265516,11.969226520568979,12.104189105120792,11.034150434688556,10.93583280893187,11.370051491367313,12.231538835065244,10.843790820484111,10.919853958462195
V00010.png,11.962868318908708,11.926347059475294,12.19412294089045,13.32698144391961,13.149070223411314,12.536064645699005,12.464510025628089,12.275478788453448,12.968540192346719,inf,12.510282763704247,12.403053744535015,12.619831407069775,12.319324146816214,12.207003045606529,12.419691016398517,13.24112236552071,13.201183858993659,12.251744841711842,12.235461065364547,11.832197314431978,12.5761582467814,12.570874887637537,12.733214912366988,11.55314918935517,11.79264749047175,11.932014182931761,12.00001699690061,11.37736602683902,11.382211757519098
