,V00001.png,V00002.png,V00003.png,V00004.png,V00005.png,V00006.png,V00007.png,V00008.png,V00009.png,V00010.png,V00011.png,V00012.png,V00013.png,V00014.png,V00015.png,V00016.png,V00017.png,V00018.png,V00019.png,V00020.png,V00021.png,V00022.png,V00023.png,V00024.png,V00025.png,V00026.png,V00027.png,V00028.png,V00029.png,V00030.png
V00001.png,2.0,1.069352951460372,1.0459020421809728,1.0395209656671676,1.0312788765763412,1.0356621365961354,1.0361595201644624,1.0349885844233586,1.0403913459124692,1.0396755242568554,1.038875341524134,1.0456209125703926,1.060202931257197,1.0614992697642354,1.0537833811896824,1.0493300412571684,1.0372473596145348,1.0368098769981828,1.0228965713976406,1.019457590234128,1.0299626172489191,1.0242990672358825,1.025224506203583,1.0246290510640843,1.0306554174045084,1.0305189413128322,1.0332774065376167,1.0202744256554506,1.0329116780972676,1.036680950082172
V00002.png,1.0693529514603721,2.0000000000000004,1.0497433300554369,1.0455370254587524,1.0311374161438642,1.0387792252511265,1.0373970271495188,1.039631119512648,1.0470873851457465,1.0377937016839782,1.0396290184498738,1.0424487408863112,1.059932022601119,1.0519778535481836,1.057804573999181,1.0541135338411052,1.040595411371392,1.0376170786786423,1.0188223943802959,1.020269053489035,1.0282291413190177,1.0221406555836998,1.0221904737280831,1.0227020868062158,1.0311786661092766,1.0330777229266692,1.028511668412881,1.0182971089405963,1.0322176042036333,1.035343977730541
V00003.png,1.0459020421809728,1.049743330055437,2.0,1.037150281152831,1.0455276287662052,1.0351797794157769,1.0386052672426203,1.0314844164878467,1.0375680947477224,1.0348172356165088,1.029623311711371,1.0323614582281393,1.0461194791661617,1.0417685238745749,1.0382494036726715,1.0326066835943968,1.0376137930413079,1.0406279249936339,1.0149240256595897,1.0127489558712186,1.0206967208804316,1.0193307605563862,1.019355584363972,1.0179709764752811,1.0217670830750856,1.027406301899611,1.0252106663900473,1.013793348557615,1.025319974679956,1.024292350832688
V00004.png,1.039520965667168,1.0455370254587524,1.037150281152831,1.9999999999999996,1.066073877286208,1.0475612367101683,1.0443343871035984,1.046741071014753,1.0515654859648746,1.0456253841805947,1.0569560895480632,1.0534105265865044,1.0442455904138628,1.0399535407769154,1.0535144119694284,1.0417243918769155,1.0415015574502768,1.0484086115603655,1.0206419936099664,1.018487732206264,1.025546379595595,1.023694725702043,1.0239903528928656,1.0261865713864404,1.0239470439043192,1.0253769609386818,1.0225236027007063,1.0190862722667653,1.0270291755842746,1.0272377192365214
V00005.png,1.0312788765763412,1.0311374161438647,1.045527628766205,1.066073877286208,2.0,1.0576577571691388,1.0443602254374884,1.0408642727962252,1.038768197177405,1.0422840859420934,1.040751496283502,1.0463629173219704,1.0356724026096455,1.0326016189749763,1.0345068463319809,1.0284806769575516,1.036147880106488,1.0374287475158952,1.0158465650605395,1.0149041949902573,1.018707268298047,1.0206094827589003,1.0217426520264623,1.0214772215660723,1.0171604127583702,1.0212089553523644,1.0182968590176524,1.0193098678012575,1.019252236814636,1.0210075641689411
V00006.png,1.0356621365961354,1.038779225251126,1.0351797794157769,1.047561236710168,1.0576577571691386,2.000000000000001,1.055691019976295,1.0520039594846469,1.0376133148422841,1.0374558753210257,1.0370865069907977,1.0438773632961773,1.0454495487967335,1.0353577265781593,1.0412276833588971,1.0332967308342618,1.039909326586229,1.0316007442224333,1.0148669859215966,1.0169470042007418,1.0221065623174397,1.0223650562220228,1.0220031413046708,1.0226904780261752,1.0205661766052871,1.0193365519265565,1.0193292790769972,1.0215055544128486,1.0195330885559966,1.022212739133613
V00007.png,1.0361595201644624,1.0373970271495185,1.03860526724262,1.0443343871035984,1.0443602254374884,1.0556910199762946,2.0,1.079057755770031,1.0416375129501914,1.0347451993183276,1.047243166236708,1.0563764463011773,1.0358510613285687,1.0382200726777886,1.0446489767979485,1.032158357404172,1.036129140826981,1.0369145957130612,1.015596926145606,1.016256012667453,1.0207274648303435,1.0236794221881846,1.0217971302847606,1.021580096995075,1.0209491977671932,1.0235081481077473,1.0184040605166966,1.0202043202176545,1.0189205109847121,1.0224096966783234
V00008.png,1.0349885844233586,1.0396311195126482,1.031484416487847,1.046741071014753,1.0408642727962252,1.0520039594846466,1.079057755770031,2.0,1.0396447196006535,1.0395349904261177,1.0469285442672858,1.0606489165039186,1.0351613439229426,1.0357824287099509,1.046657632408176,1.034268185136919,1.0355534322566997,1.0361520892028382,1.0162202727615273,1.0174566268491978,1.0210775515657289,1.0247153822771073,1.0220118608711473,1.0241131456819208,1.0194931733602295,1.0209976914994703,1.021162833739936,1.020114206148046,1.0211016100108383,1.0232030185589567
V00009.png,1.0403913459124692,1.0470873851457465,1.0375680947477224,1.0515654859648746,1.038768197177405,1.0376133148422837,1.0416375129501916,1.0396447196006535,2.0000000000000004,1.0470522253474663,1.0563443373319252,1.0452156262101755,1.0590853400456952,1.0432726065542555,1.0391148921086577,1.0356426558537004,1.0411561442514456,1.036955005903514,1.0201829225306964,1.017412629978181,1.0255583129005699,1.0251355866757748,1.0223351805017644,1.023451780565099,1.0248577914105517,1.0249795242242712,1.0241910060078432,1.0193987610985773,1.0263037754687763,1.0267279049513072
V00010.png,1.0396755242568552,1.0377937016839782,1.0348172356165088,1.0456253841805947,1.042284085942093,1.0374558753210257,1.0347451993183276,1.039534990426118,1.0470522253474663,2.0,1.036077999008601,1.035611596397788,1.0434791276513389,1.0365663245020555,1.0346911958523606,1.0394840355742279,1.038516903651675,1.039227974994712,1.0164351781104495,1.0135150218430353,1.0193710141915182,1.0193101884219353,1.0196522418090255,1.0208132192503783,1.0189384337577754,1.0205167768037788,1.0226469645198033,1.0154271828090338,1.0218359848255143,1.0214495046621552
