,V00001.png,V00002.png,V00003.png,V00004.png,V00005.png,V00006.png,V00007.png,V00008.png,V00009.png,V00010.png
V00001.png,0.0,116.79494259259259,119.58762268518518,142.34351944444444,141.1615587962963,143.3766662037037,152.11928194444445,154.04698425925926,132.24193333333332,145.58462314814815
V00002.png,131.6644351851852,0.0,120.28482824074074,143.911125,141.04916435185186,146.36613842592593,153.39604305555557,157.06893055555557,130.99389444444444,147.86725092592593
V00003.png,130.95981435185186,129.3904310185185,0.0,138.55666712962963,143.01855833333335,143.89606574074074,148.78884444444444,148.59245787037037,133.48583657407409,141.01637824074075
V00004.png,109.59342870370371,107.78961574074074,113.10271064814815,0.0,122.92150601851851,126.01554675925927,130.1091550925926,138.15810185185185,110.56116944444445,131.63505925925926
V00005.png,111.22398194444445,111.2077837962963,108.8254712962963,125.99653842592592,0.0,125.8650037037037,129.5922712962963,134.01111435185186,113.93204861111111,130.70039768518518
V00006.png,108.89794120370371,105.67000972222222,107.88206759259259,124.44003842592592,123.43941111111111,0.0,130.80057129629628,137.87908842592591,114.28251157407408,132.35906805555555
V00007.png,100.40848101851851,99.0875125,103.53506666666667,120.78068194444444,120.72085462962963,118.60268796296296,0.0,136.83318379629628,105.37740694444445,125.51511898148148
V00008.png,98.76652685185185,95.53160277777778,104.25080138888889,112.77677222222222,116.85952268518518,112.22947453703704,112.10358657407407,0.0,103.59808981481481,120.00507592592592
V00009.png,119.86888148148148,120.8764462962963,118.64085972222222,140.09269722222223,137.48353657407407,137.5143476851852,146.61560046296296,148.650325,0.0,139.3527638888889
V00010.png,106.10521388888888,104.33091203703704,111.18214027777778,119.45471851851852,120.57201712962963,119.17527268518519,126.09945879629629,131.11184259259258,111.87390277777777,0.0
